,ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview,similarity_score,read
9705,019282760X,Pride and Prejudice (World's Classics),Jane Austen,1990,Oxford University Press,"When Elizabeth Bennet first meets eligible bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited; he is indifferent to her good looks and lively mind. When she later discovers that Darcy has involved himself in the troubled relationship between his friend Bingley and her beloved sister Jane, she is determined to dislike him more than ever. Jane Austen shows the folly of judging by first impressions and evokes the friendships, gossip and snobberies of provincial middle-class life.","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), ENGLAND_FICTION, BENNET, ELIZABETH (FICTITIOUS CHARACTER)_FICTION, YOUNG WOMEN_FICTION, DARCY, FITZWILLIAM (FICTITIOUS CHARACTER)_FICTION, SISTERS_FICTION","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), ENGLAND_FICTION, BENNET, ELIZABETH (FICTITIOUS CHARACTER)_FICTION",en,351.0,Paperback,https://images.isbndb.com/covers/17533853482256.jpg,,0.90096354,True
11123,0192833553,Pride and Prejudice (Oxford World's Classics),Jane Austen,1998,Oxford University Press,"From its opening sentence, Jane Austen's most famous novel envelops us in the delightful world of the Bennets. The ill-matched Mr. and Mrs. Bennet, Charles Bingley and his sisters, and the fatuous Mr. Collins provide fine examples of Austen's artistry, and while entertaining, this novel is also a lesson on the follies of ""pride"" and ""prejudice.""","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), BENNET, ELIZABETH (FICTITIOUS CHARACTER)_FICTION, ENGLAND_FICTION, DARCY, FITZWILLIAM (FICTITIOUS CHARACTER)_FICTION, SISTERS_FICTION","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), BENNET, ELIZABETH (FICTITIOUS CHARACTER)_FICTION, ENGLAND_FICTION",en,410.0,Paperback,https://images.isbndb.com/covers/17593323482256.jpg,,0.8274216,False
6241,0451525884,Pride and Prejudice,Jane Austen,1996,Signet Book,"'I must confess that I think her as delightful a creature as ever appeared in print,' Jane Austen declared of her heroine in Pride and Prejudice.Few readers have failed to be charmed by the witty and independent spirit of Elizabeth Bennet. Her early determination to dislike Mr Darcy-who is quite the most handsome and eligible bachelor in the whole of English literature-is a misjudgement only matched in folly by Darcy's arrogant pride. Their first impressions give way to truer feelings in a comedy profoundly concerned with happiness and how it might be achieved.Vivien Jones, in her new introduction to this Penguin Classics edition, shows how their romance is inseparable from the important social and political debates of Austen's time, and describes Pride and Prejudice as 'One of the most perfect, most pleasurable and most subtle-and therefore, perhaps, most dangerously persuasive-of romantic love stories.'","Fiction, Classics, Literary","Fiction, Classics, Literary",en,324.0,Paperback,https://images.isbndb.com/covers/20623963482348.jpg,,0.81194377,False
84,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,"Elizabeth Bennet, the second eldest of five daughters whom Mrs. Bennet is anxious to dispose of in marriage, is the most intelligent and delightful of all Jane Austen's heroines. Her vitality, vivacity and wit, her hasty dismissal of superior Mr. Darcy-- the most disagreeable man in the world'--how he improves his manners and she changes her mind, are the central ingredients of &quot;Pride and Prejudice. It is Jane Austen's best-loved novel and through the depth and sparkle of its comedy we are encouraged to consider what balance of energy and order, playfulness and regulation constitutes real strength of character.","Fiction, Classics, Romance, Historical","Fiction, Classics, Romance",en,262.0,Paperback,https://images.isbndb.com/covers/3097173482361.jpg,,0.8109052,False
7197,0141439513,Pride and Prejudice (Penguin Classics),Jane Austen,2003,Penguin Books,"Of all Jane Austen's books, Pride and Prejudice has earned a special place in the hearts of the reading public as her best-loved and most intimately known novel. From its famous opening sentence the story of the Bennet family and of the novel's two protagonists, Elizabeth and Darcy, told with a wit that its author feared might prove 'rather too light and bright, and sparkling', delights its most familiar readers as thoroughly as it does those who encounter it for the first time. Jane Austen's artistry is apparent, too, in the delineation of the minor characters: the ill-matched Mr. and Mrs. Bennet, Charles Bingley and his sisters, and above all the fatuous Mr. Collins, whose proposal to Elizabeth Bennet is one of the finest comic passages in English literature. And while she entertains us, Jane Austen teaches us the wisdom of balance, the folly of 'pride' and 'prejudice'.","Literature & Fiction, Classics, Women's Fiction, Romance, Historical, Regency, Arborist Merchandising Root, Self Service","Literature & Fiction, Classics, Women's Fiction",en,392.0,Paperback,https://images.isbndb.com/covers/9197163482238.jpg,,0.79900527,False
3270,0140373373,Pride and Prejudice (Puffin Classics),Jane Austen,1995,Puffin Books,"Mr and Mrs Bennet live with their five daughters. Jane, the eldest daughter, falls in love with Charles Bingley, a rich batchelor who takes a house nearby with his two sisters and friend, Fitzwilliam Darcy. Darcy is attracted to the second daugher, Elizabeth, but a bad account of him is given to Elizabeth. He and Bingley's effect the separation of Bingley and Jane. William Collins, cousin to the sisters and as only male, heir to the Bennet estate, proposes to Elizabeth but is rejected. Darcy proposes to Elizabeth but she refuses. When Elizabeth travels north she is invited with friends to Darcy's place in Berbyshire, and thinking Darcy is absent she goes. However, he is there and she is surprised by his much-improved manners. She hears news that her sister Lydia has eloped with Wickham, an unprincipled adventurer. With Darcy's help the fugitives are found. The attachment between Bingley and Jane is renewed and leads to an engagement. In spite of the insolent intervention of Lady Catherine, Darcy and Elizabeth become engaged.","Juvenile Fiction, Classics, Girls & Women, Historical, Love & Romance, People & Places, Europe","Juvenile Fiction, Classics, Girls & Women",en,378.0,Paperback,https://images.isbndb.com/covers/26621473482237.jpg,,0.79619735,False
4924,0451523652,Pride and Prejudice,Jane Austen,1988,New Amer Library Classics,"""Pride and Prejudice is a novel of manners by Jane Austen, first published in 1813. The story follows the main character, Elizabeth Bennet, as she deals with issues of manners, upbringing, morality, education, and marriage in the society of the landed gentry of the British Regency. Elizabeth is the second of five daughters of a country gentleman living near the fictional town of Meryton in Hertfordshire, near London. Page 2 of a letter from Jane Austen to her sister Cassandra (11 June 1799) in which she first mentions Pride and Prejudice, using its working title First Impressions. (NLA) Set in England in the early 19th century, Pride and Prejudice tells the story of Mr and Mrs Bennet's five unmarried daughters after the rich and eligible Mr Bingley and his status-conscious friend, Mr Darcy, have moved into their neighbourhood. While Bingley takes an immediate liking to the eldest Bennet daughter, Jane, Darcy has difficulty adapting to local society and repeatedly clashes with the second-eldest Bennet daughter, Elizabeth. Pride and Prejudice retains a fascination for modern readers, continuing near the top of lists of ""most loved books."" It has become one of the most popular novels in English literature, selling over 20 million copies, and receives considerable attention from literary scholars. Modern interest in the book has resulted in a number of dramatic adaptations and an abundance of novels and stories imitating Austen's memorable characters or themes.""--Amazon.","Fiction, Literary, Women, Family Life, Siblings","Fiction, Literary, Women",en,336.0,Mass Market Paperback,https://images.isbndb.com/covers/20601633482348.jpg,,0.7725272,False
2807,0553213105,Pride and Prejudice,Jane Austen,1981,Bantam,"<b>Nominated as one of America’s best-loved novels by PBS’s <i>The Great American Read</i></b><br><br>“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins <i>Pride and Prejudice, </i>Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”","Fiction, Classics, Literary, Romance, Historical, Victorian","Fiction, Classics, Literary",en,352.0,Mass Market Paperback,https://images.isbndb.com/covers/26407663482384.jpg,,0.77251947,False
3290,0140430725,"Pride and Prejudice (The Penguin English Library, El 72)",Jane Austen,1985,Penguin Books,"Author, Jane Austen and James Kin and Publisher, Penguin Classics","BENNET, ELIZABETH (FICTITIOUS CHARACTER)_FICTION, ENGLAND_FICTION, BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), DARCY, FITZWILLIAM (FICTITIOUS CHARACTER)_FICTION, SISTERS_FICTION, YOUNG WOMEN_FICTION","BENNET, ELIZABETH (FICTITIOUS CHARACTER)_FICTION, ENGLAND_FICTION, BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR)",en,378.0,Mass Market Paperback,https://images.isbndb.com/covers/27194983482237.jpg,,0.7696872,False
3023,1853260002,Pride & Prejudice (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company,"CLASSIC FICTION (PRE C 1945). It's hard to believe that jane austen wrote the sophisticated and acerbic pride and prejudice when she was only 21 years old, in 1797. Originally entitled first impressions, the novel was rejected, revised, retitled, and finally published--anonymously--in 1813, only four years before austen's untimely death. In pride and prejudice, austen calls on her sharp observations of vanity, venality, pomposity, and downright nuttiness in a story about a respectable but far from wealthy family full of daughters--girls who desperately need to find husbands if they are to have any kind of economic security. The eldest of the bennett family, elizabeth, is a bright, opinionated, and complacent young woman whose reaction to an offer of marriage from her wealthy but impossibly arrogant suitor, fitzwilliam darcy, is revulsion.","Fiction, Classics, Literary, Family Life, Siblings","Fiction, Classics, Literary",en,376.0,Paperback,https://images.isbndb.com/covers/23155883482847.jpg,,0.7626401,False
