ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview
0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,"In a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for New York. It's a time when the growing threat of fascism in Europe is a constant worry, and people escape from reality through radio and the movies. Meanwhile, the two sisters -- vastly different in personality, yet inextricably linked by a shared past -- try to find their places within the complex web of social expectations for young women in the 1930s. While Nora embarks on a glamorous career as a radio-soap opera star, Clara, a strong and independent-minded woman, struggles to observe the traditional boundaries of a small and tight-knit community without relinquishing her dreams of love, freedom, and adventure. However, things aren't as simple as they appear -- Nora's letters eventually reveal life in the big city is less exotic than it seems, and the tranquil solitude of Clara's life is shattered by a series of unforeseeable events. These twists of fate require all of Clara's courage and strength, and finally put the seemingly unbreakable bond between the sisters to the test.","Fiction, Historical, Literary, Psychological, Women, Family Life, Siblings, City Life, Performing Arts, Film, Television & Radio","Fiction, Historical, Literary",en,414.0,Hardcover,https://images.isbndb.com/covers/19141603482188.jpg,
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,"A Chinese immigrant who is convinced she is dying threatens to celebrate the Chinese New Year by unburdening herself of everybody's hidden truths, thus prompting a series of comic misunderstandings","CALIFORNIA_FICTION, FICTION_FAMILY LIFE_GENERAL, CHINESE AMERICANS_FICTION, MOTHERS AND DAUGHTERS_FICTION, LARGE TYPE BOOKS, CHINA_FICTION","CALIFORNIA_FICTION, FICTION_FAMILY LIFE_GENERAL, CHINESE AMERICANS_FICTION",en,415.0,Hardcover,https://images.isbndb.com/covers/2267113482330.jpg,
0440234743,The Testament,John Grisham,1999,Dell,"Heart of darkness... <br>In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives. <br>Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil. <br>Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman--pursued by enemies and friends alike--holds a stunning surprise of her own....","Fiction, Thrillers, Suspense, Legal","Fiction, Thrillers, Suspense",en,533.0,Paperback,https://images.isbndb.com/covers/20055703482344.jpg,
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,"After Paul D. finds his old slave friend Sethe in Ohio and moves in with her and her daughter Denver, a strange girl comes along by the name of ""Beloved."" Sethe and Denver take her in and then strange things begin to happen. Set in rural Ohio several years after the Civil War, this profoundly affecting chronicle of slavery and its aftermath is Toni Morrison's greatest novel, a dazzling achievement, and the most spellbinding reading experience of the decade. A brutally powerful, mesmerizing story ... read it and tremble. At the center of Toni Morrison's fifth novel, which earned her the 1988 Pulitzer Prize for fiction, is an almost unspeakable act of horror and heroism: a woman brutally kills her infant daughter rather than allow her to be enslaved. The woman is Sethe, and the novel traces her journey from slavery to freedom during and immediately following the Civil War. Woven into this circular, mesmerizing narrative are the horrible truths of Sethe's past: the incredible cruelties she endured as a slave, and the hardships she suffered in her journey north to freedom. Just as Sethe finds the past too painful to remember, and the future just ""a matter of keeping the past at bay,"" her story is almost too painful to read. Yet Morrison manages to imbue the wreckage of her characters' lives with compassion, humanity, and humor. Part ghost story, part history lesson, part folk tale, Beloved finds beauty in the unbearable, and lets us all see the enduring promise of hope that lies in anyones future.","Fiction, Historical, Literary, African American & Black","Fiction, Historical, Literary",en,275.0,Paperback,https://images.isbndb.com/covers/28009733482348.jpg,
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,"<b>The Onion</b> has quickly become the world's most popular humor publication, misinforming half a million readers a week with one-of-a-kind social satire both in print (on newsstands nationwide) and online from its remote office in Madison, Wisconsin.<br> <br> Witness the march of history as Editor-in-Chief Scott Dikkers and <b>The Onion's</b> award-winning writing staff present the twentieth century like you've never seen it before.","Humor, Topic, Politics, Form, Parodies, Social Science, Popular Culture","Humor, Topic, Politics",en,164.0,Paperback,https://images.isbndb.com/covers/2521173482405.jpg,
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,"Filled with fresh and eclectic recipes by Celia Brooks Brown -- one of the talented team of chefs at Books for Cooks, the world-famous bookshop-restaurant in London's Notting Hill -- New Vegetarian presents an innovative approach to vegetarian cooking. No longer the exclusive domain of vegetarians, meat-free food is now appreciated by all for its bright and assertive flavors, its marvelous colors, and its easy-to-make convenience. Celia gives sensible advice on choosing and preparing the major vegetarian ingredients, then presents 50 original and stylish recipes -- ranging from quick breakfasts to party foods, from salads to sweet treats -- all photographed by Philip Webb. Whether it is burritos bursting with flavor or Thai Glazed Vegetable Skewers fresh from the barbecue, Celia's enthusiasm and imagination will tempt even the most confirmed carnivore.","Cooking, Health & Healing, Vegetarian","Cooking, Health & Healing, Vegetarian",en,144.0,Hardcover,https://images.isbndb.com/covers/20114243482843.jpg,
0971880107,Wild Animus,Rich Shapero,2004,Too Far,"Sam Altman is an intense young man with an animal energy whose unleashed and increasingly unhinged imagination takes him first to Seattle and then farther north, to the remote Alaskan wilderness. He has fallen deeply in love with the mysterious and powerful Lindy, a young woman who understands his quest, and who will do anything to help him realize it, no matter how bizarre or dangerous. On the unforgiving ridges of Mt. Wrangell, alone with his reckless ideas and a driving need to uncover his innermost self, Sam, who has renamed himself Ransom, gradually transforms himself into a ram, prey to a pack of strangely familiar wolves.","Fiction, Literary","Fiction, Literary",en,315.0,Paperback,https://images.isbndb.com/covers/209223482534.jpg,
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,"Three passengers are dead. Fifty-six are injured. The interior cabin virtually destroyed. But the pilot manages to land the plane. . . .<br> <br> At a moment when the issue of safety and death in the skies is paramount in the public mind, a lethal midair disaster aboard a commercial twin-jet airliner bound from Hong Kong to Denver triggers a pressured and frantic investigation.<br> <br> AIRFRAME is nonstop reading: the extraordinary mixture of super suspense and authentic information on a subject of compelling interest that has been a Crichton landmark since The Andromeda Strain.","Fiction, Action & Adventure, Psychological, Thrillers, Suspense","Fiction, Action & Adventure, Psychological",en,431.0,Paperback,https://images.isbndb.com/covers/26653853482310.jpg,
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,"This movie tie-in edition of the New York Times bestseller is available just in time for the April 2003 release of the film adaptation by Paramount Pictures. When archaeologists are introduced to an astounding technology, they get the chance to not only study the past but also to enter it. Reissue.","Fiction, Action & Adventure, Historical, Science Fiction, Hard Science Fiction, Thrillers, Suspense, Technological","Fiction, Action & Adventure, Historical",en,496.0,Mass Market Paperback,https://images.isbndb.com/covers/26801363482310.jpg,
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,"A novel of startling scope and ambition, <b>Prague</b> depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune. They harbor the vague suspicion that their counterparts in Prague have it better, but still they hope to find adventure, inspiration, a gold rush, or history in the making.","Fiction, Literary, Psychological, Historical","Fiction, Literary, Psychological",en,400.0,Paperback,https://images.isbndb.com/covers/21279133482321.jpg,
