ISBN,Mean_Rating,Title,Author,Year,Publisher
0002005018,4.2727272727272725,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada
0002251760,4.909090909090909,The Forgetting Room: A Fiction (Byzantium Book),Nick Bantock,1997.0,Harpercollins
0006485200,3.5,The Piano Man's Daughter,Timothy Findley,1999.0,Britnell Book Wholesalers
0007106572,0.7857142857142857,Guilty Creatures,Sue Welfare,2001.0,HarperCollins
0007110928,3.4583333333333335,Billy,Pamela Stephenson,2002.0,HarperCollins Entertainment
0007122039,3.1,"\""Girls' Night Out\""/\""Boys' Night In\""",Chris Manby,2001.0,HarperCollins Publishers
0007141076,1.9,Unless: A Novel,Carol Shields,2002.0,Fourth Estate
0007154615,2.25,Unless : A Novel,Carol Shields,2003.0,Perennial
000716226X,3.5625,The Bride Stripped Bare : A Novel,Nikki Gemmell,2004.0,Fourth Estate
0020125305,2.8421052631578947,"Sniglets (Snig'lit : Any Word That Doesn't Appear in the Dictionary, But Should)",Rich Hall,1984.0,Collier Books
0020125607,2.7,"More Sniglets: Any Word That Doesn't Appear in the Dictionary, but Should",Rich Hall,1985.0,Simon & Schuster
0020198817,4.181818181818182,The GREAT GATSBY (A Scribner Classic),F. Scott Fitzgerald,1992.0,Scribner Paper Fiction
0020198906,2.263157894736842,Joshua,Joseph F Girzone,1987.0,Macmillan
0020199600,4.774193548387097,GREAT GATSBY (REISSUE),F. Scott Fitzgerald,1988.0,Scribner Paper Fiction
002026478X,0.8813559322033898,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993.0,Scribner
0020264801,4.5,ETHAN FROME,Edith Wharton,1987.0,Scribner
0020360754,2.2,Heart Songs and Other Stories,Annie Proulx,1995.0,Scribner
002040400X,2.6363636363636362,Unexplained Sniglets of the Universe,Rich Hall,1986.0,Simon & Schuster
0020418809,2.869565217391304,CADDIE WOODLAWN,Carol Ryrie Brink,1970.0,Simon Pulse
0020427859,2.8518518518518516,"Over Sea, Under Stone",Susan Cooper,1989.0,Simon Pulse
0020442009,2.774193548387097,Horse and His Boy,C. S. Lewis,1970.0,MacMillan Publishing Company.
0020442106,3.238095238095238,The Last Battle (The Chronicles of Narnia Book 7),C. S. Lewis,1970.0,MacMillan Publishing Company.
0020442203,3.5090909090909093,"Lion, the Witch and the Wardrobe",C.S. Lewis,1970.0,MacMillan Publishing Company.
